C:\Users\VipinBihari\Desktop\IMG\center_2020_06_04_19_56_04_908.jpg, C:\Users\VipinBihari\Desktop\IMG\left_2020_06_04_19_56_04_908.jpg, C:\Users\VipinBihari\Desktop\IMG\right_2020_06_04_19_56_04_908.jpg, 0, 0, 0, 1.227047
C:\Users\VipinBihari\Desktop\IMG\center_2020_06_04_19_56_05_014.jpg, C:\Users\VipinBihari\Desktop\IMG\left_2020_06_04_19_56_05_014.jpg, C:\Users\VipinBihari\Desktop\IMG\right_2020_06_04_19_56_05_014.jpg, 0, 0, 0, 1.21253
C:\Users\VipinBihari\Desktop\IMG\center_2020_06_04_19_56_05_115.jpg, C:\Users\VipinBihari\Desktop\IMG\left_2020_06_04_19_56_05_115.jpg, C:\Users\VipinBihari\Desktop\IMG\right_2020_06_04_19_56_05_115.jpg, 0, 0, 0, 1.198158
C:\Users\VipinBihari\Desktop\IMG\center_2020_06_04_19_56_05_220.jpg, C:\Users\VipinBihari\Desktop\IMG\left_2020_06_04_19_56_05_220.jpg, C:\Users\VipinBihari\Desktop\IMG\right_2020_06_04_19_56_05_220.jpg, 0, 0, 0, 1.183931
C:\Users\VipinBihari\Desktop\IMG\center_2020_06_04_19_56_05_325.jpg, C:\Users\VipinBihari\Desktop\IMG\left_2020_06_04_19_56_05_325.jpg, C:\Users\VipinBihari\Desktop\IMG\right_2020_06_04_19_56_05_325.jpg, 0, 0, 0, 1.169847
C:\Users\VipinBihari\Desktop\IMG\center_2020_06_04_19_56_05_426.jpg, C:\Users\VipinBihari\Desktop\IMG\left_2020_06_04_19_56_05_426.jpg, C:\Users\VipinBihari\Desktop\IMG\right_2020_06_04_19_56_05_426.jpg, 0, 0, 0, 1.153132
C:\Users\VipinBihari\Desktop\IMG\center_2020_06_04_19_56_05_534.jpg, C:\Users\VipinBihari\Desktop\IMG\left_2020_06_04_19_56_05_534.jpg, C:\Users\VipinBihari\Desktop\IMG\right_2020_06_04_19_56_05_534.jpg, 0, 0, 0, 1.139356
C:\Users\VipinBihari\Desktop\IMG\center_2020_06_04_19_56_05_644.jpg, C:\Users\VipinBihari\Desktop\IMG\left_2020_06_04_19_56_05_644.jpg, C:\Users\VipinBihari\Desktop\IMG\right_2020_06_04_19_56_05_644.jpg, 0, 0, 0, 1.125719
C:\Users\VipinBihari\Desktop\IMG\center_2020_06_04_19_56_05_748.jpg, C:\Users\VipinBihari\Desktop\IMG\left_2020_06_04_19_56_05_748.jpg, C:\Users\VipinBihari\Desktop\IMG\right_2020_06_04_19_56_05_748.jpg, 0, 0, 0, 1.109535
C:\Users\VipinBihari\Desktop\IMG\center_2020_06_04_19_56_05_853.jpg, C:\Users\VipinBihari\Desktop\IMG\left_2020_06_04_19_56_05_853.jpg, C:\Users\VipinBihari\Desktop\IMG\right_2020_06_04_19_56_05_853.jpg, 0, 0, 0, 1.096196
C:\Users\VipinBihari\Desktop\IMG\center_2020_06_04_19_56_05_953.jpg, C:\Users\VipinBihari\Desktop\IMG\left_2020_06_04_19_56_05_953.jpg, C:\Users\VipinBihari\Desktop\IMG\right_2020_06_04_19_56_05_953.jpg, 0, 0, 0, 1.082992
C:\Users\VipinBihari\Desktop\IMG\center_2020_06_04_19_56_06_063.jpg, C:\Users\VipinBihari\Desktop\IMG\left_2020_06_04_19_56_06_063.jpg, C:\Users\VipinBihari\Desktop\IMG\right_2020_06_04_19_56_06_063.jpg, 0, 0, 0, 1.069921
C:\Users\VipinBihari\Desktop\IMG\center_2020_06_04_19_56_06_218.jpg, C:\Users\VipinBihari\Desktop\IMG\left_2020_06_04_19_56_06_218.jpg, C:\Users\VipinBihari\Desktop\IMG\right_2020_06_04_19_56_06_218.jpg, 0, 0, 0, 1.049281
C:\Users\VipinBihari\Desktop\IMG\center_2020_06_04_19_56_06_322.jpg, C:\Users\VipinBihari\Desktop\IMG\left_2020_06_04_19_56_06_322.jpg, C:\Users\VipinBihari\Desktop\IMG\right_2020_06_04_19_56_06_322.jpg, -0.2978748, 0, 0, 1.033122
C:\Users\VipinBihari\Desktop\IMG\center_2020_06_04_19_56_06_427.jpg, C:\Users\VipinBihari\Desktop\IMG\left_2020_06_04_19_56_06_427.jpg, C:\Users\VipinBihari\Desktop\IMG\right_2020_06_04_19_56_06_427.jpg, -0.641973, 0, 0, 1.008724
C:\Users\VipinBihari\Desktop\IMG\center_2020_06_04_19_56_06_533.jpg, C:\Users\VipinBihari\Desktop\IMG\left_2020_06_04_19_56_06_533.jpg, C:\Users\VipinBihari\Desktop\IMG\right_2020_06_04_19_56_06_533.jpg, -0.9606972, 0.0303384, 0, 0.968043
C:\Users\VipinBihari\Desktop\IMG\center_2020_06_04_19_56_06_637.jpg, C:\Users\VipinBihari\Desktop\IMG\left_2020_06_04_19_56_06_637.jpg, C:\Users\VipinBihari\Desktop\IMG\right_2020_06_04_19_56_06_637.jpg, -1, 0.3145911, 0, 1.334394
C:\Users\VipinBihari\Desktop\IMG\center_2020_06_04_19_56_06_743.jpg, C:\Users\VipinBihari\Desktop\IMG\left_2020_06_04_19_56_06_743.jpg, C:\Users\VipinBihari\Desktop\IMG\right_2020_06_04_19_56_06_743.jpg, -0.7129747, 0.05776648, 0, 1.392638
C:\Users\VipinBihari\Desktop\IMG\center_2020_06_04_19_56_06_845.jpg, C:\Users\VipinBihari\Desktop\IMG\left_2020_06_04_19_56_06_845.jpg, C:\Users\VipinBihari\Desktop\IMG\right_2020_06_04_19_56_06_845.jpg, -0.4070083, 0, 0, 1.389802
C:\Users\VipinBihari\Desktop\IMG\center_2020_06_04_19_56_06_954.jpg, C:\Users\VipinBihari\Desktop\IMG\left_2020_06_04_19_56_06_954.jpg, C:\Users\VipinBihari\Desktop\IMG\right_2020_06_04_19_56_06_954.jpg, -0.05190761, 0, 0, 1.368611
C:\Users\VipinBihari\Desktop\IMG\center_2020_06_04_19_56_07_057.jpg, C:\Users\VipinBihari\Desktop\IMG\left_2020_06_04_19_56_07_057.jpg, C:\Users\VipinBihari\Desktop\IMG\right_2020_06_04_19_56_07_057.jpg, 0, 0, 0, 1.35297
C:\Users\VipinBihari\Desktop\IMG\center_2020_06_04_19_56_07_161.jpg, C:\Users\VipinBihari\Desktop\IMG\left_2020_06_04_19_56_07_161.jpg, C:\Users\VipinBihari\Desktop\IMG\right_2020_06_04_19_56_07_161.jpg, 0, 0, 0, 1.337781
C:\Users\VipinBihari\Desktop\IMG\center_2020_06_04_19_56_07_263.jpg, C:\Users\VipinBihari\Desktop\IMG\left_2020_06_04_19_56_07_263.jpg, C:\Users\VipinBihari\Desktop\IMG\right_2020_06_04_19_56_07_263.jpg, 0, 0.2795652, 0, 1.624575
C:\Users\VipinBihari\Desktop\IMG\center_2020_06_04_19_56_07_364.jpg, C:\Users\VipinBihari\Desktop\IMG\left_2020_06_04_19_56_07_364.jpg, C:\Users\VipinBihari\Desktop\IMG\right_2020_06_04_19_56_07_364.jpg, -0.2725194, 0.5792559, 0, 2.251119
C:\Users\VipinBihari\Desktop\IMG\center_2020_06_04_19_56_07_471.jpg, C:\Users\VipinBihari\Desktop\IMG\left_2020_06_04_19_56_07_471.jpg, C:\Users\VipinBihari\Desktop\IMG\right_2020_06_04_19_56_07_471.jpg, -0.6227952, 0.9295317, 0, 3.493433
C:\Users\VipinBihari\Desktop\IMG\center_2020_06_04_19_56_07_578.jpg, C:\Users\VipinBihari\Desktop\IMG\left_2020_06_04_19_56_07_578.jpg, C:\Users\VipinBihari\Desktop\IMG\right_2020_06_04_19_56_07_578.jpg, -0.3320436, 1, 0, 4.662676
